id,title,year,runtime,genre,imdb_rating,metascore,num_votes,gross
tt2250912,Spider-Man: Homecoming,2017,133 min,"Action, Adventure, Sci-Fi",7.4,73,665932,$334.20M
tt0451279,Wonder Woman,2017,141 min,"Action, Adventure, Fantasy",7.4,76,665130,$412.56M
tt0381061,James Bond 007: Casino Royale,2006,144 min,"Action, Adventure, Thriller",8,80,663997,$167.45M
tt0948470,The Amazing Spider-Man,2012,136 min,"Action, Adventure, Sci-Fi",6.9,66,663206,$262.03M
tt0113277,Heat,1995,170 min,"Action, Crime, Drama",8.3,76,662167,$67.44M
tt0316654,Spider-Man 2,2004,127 min,"Action, Adventure, Sci-Fi",7.4,83,661327,$373.59M
tt0449088,Pirates of the Caribbean - Am Ende der Welt,2007,169 min,"Action, Adventure, Fantasy",7.1,50,658593,$309.42M
tt0421715,Der seltsame Fall des Benjamin Button,2008,166 min,"Drama, Fantasy, Romance",7.8,70,658520,$127.51M
tt0780504,Drive,2011,100 min,"Action, Drama",7.8,78,651392,$35.06M
tt0369610,Jurassic World,2015,124 min,"Action, Adventure, Sci-Fi",6.9,59,649170,$652.27M
tt1160419,Dune,2021,155 min,"Action, Adventure, Drama",8,74,648827,$108.33M
tt3748528,Star Wars: Rogue One,2016,133 min,"Action, Adventure, Sci-Fi",7.8,65,647048,$532.18M
tt0295297,Harry Potter und die Kammer des Schreckens,2002,161 min,"Adventure, Family, Fantasy",7.4,63,644884,$261.99M
tt0418279,Transformers,2007,144 min,"Action, Adventure, Sci-Fi",7,61,644683,$319.25M
tt2911666,John Wick,2014,101 min,"Action, Crime, Thriller",7.4,68,643979,$43.04M
tt0304141,Harry Potter und der Gefangene von Askaban,2004,142 min,"Adventure, Family, Fantasy",7.9,82,643810,$249.36M
tt0988045,Sherlock Holmes,2009,128 min,"Action, Adventure, Mystery",7.6,57,640989,$209.03M
tt0107048,Und täglich grüßt das Murmeltier,1993,101 min,"Comedy, Drama, Fantasy",8.1,72,640631,$70.91M
tt0440963,Das Bourne Ultimatum,2007,115 min,"Action, Mystery, Thriller",8,85,639124,$227.47M
tt2527336,Star Wars - Episode VIII: Die letzten Jedi,2017,152 min,"Action, Adventure, Fantasy",6.9,84,638728,$620.18M
tt0454876,Life of Pi: Schiffbruch mit Tiger,2012,127 min,"Adventure, Drama, Fantasy",7.9,79,637642,$124.99M
tt2562232,Birdman oder (Die unverhoffte Macht der Ahnungslosigkeit),2014,119 min,"Comedy, Drama",7.7,87,636855,$42.34M
tt0144084,American Psycho,2000,102 min,"Crime, Drama, Horror",7.6,64,635763,$15.07M
