id,stars,n
tt0029870,5,493
tt0029870,6,1521
tt0029870,7,4287
tt0029870,8,7546
tt0029870,9,3948
tt0029870,10,3463
tt0029947,1,1227
tt0029947,2,549
tt0029947,3,729
tt0029947,4,1172
tt0029947,5,2553
tt0029947,6,5233
tt0029947,7,10705
tt0029947,8,16149
tt0029947,9,11029
tt0029947,10,13486
tt0030341,1,730
tt0030341,2,207
tt0030341,3,306
tt0030341,4,599
tt0030341,5,1452
tt0030341,6,4116
tt0030341,7,11706
tt0030341,8,18043
tt0030341,9,9307
tt0030341,10,7444
tt0030993,1,289
tt0030993,2,150
tt0030993,3,194
tt0030993,4,344
tt0030993,5,848
tt0030993,6,1947
tt0030993,7,4720
tt0030993,8,7761
tt0030993,9,4727
tt0030993,10,5421
tt0031381,1,5568
tt0031381,2,2570
tt0031381,3,3405
tt0031381,4,5097
tt0031381,5,9983
tt0031381,6,20333
tt0031381,7,45001
tt0031381,8,76085
tt0031381,9,62711
tt0031381,10,87807
tt0031679,1,2361
tt0031679,2,740
tt0031679,3,954
tt0031679,4,1425
tt0031679,5,3078
tt0031679,6,6824
tt0031679,7,18842
tt0031679,8,33073
tt0031679,9,26325
tt0031679,10,22938
tt0031725,1,206
tt0031725,2,90
tt0031725,3,118
tt0031725,4,256
tt0031725,5,729
tt0031725,6,1651
tt0031725,7,4177
tt0031725,8,6716
tt0031725,9,4142
tt0031725,10,3485
tt0031885,1,871
tt0031885,2,204
tt0031885,3,287
tt0031885,4,520
tt0031885,5,1067
tt0031885,6,2256
tt0031885,7,4840
tt0031885,8,7063
tt0031885,9,5559
tt0031885,10,7099
tt0031971,1,1196
tt0031971,2,230
tt0031971,3,362
tt0031971,4,606
tt0031971,5,1621
tt0031971,6,4027
tt0031971,7,10225
tt0031971,8,15436
tt0031971,9,8740
tt0031971,10,7967
tt0032138,1,5366
tt0032138,2,2322
tt0032138,3,3204
tt0032138,4,5454
tt0032138,5,12882
tt0032138,6,30397
tt0032138,7,73027
tt0032138,8,108591
tt0032138,9,71707
tt0032138,10,92022
tt0032455,1,1304
tt0032455,2,843
tt0032455,3,1286
tt0032455,4,2151
tt0032455,5,4589
tt0032455,6,9034
tt0032455,7,18799
tt0032455,8,26312
tt0032455,9,15395
tt0032455,10,18759
tt0032484,1,157
tt0032484,2,83
tt0032484,3,127
tt0032484,4,250
tt0032484,5,846
tt0032484,6,2465
tt0032484,7,6145
tt0032484,8,6845
tt0032484,9,2680
tt0032484,10,2101
tt0032551,1,1944
tt0032551,2,635
tt0032551,3,883
tt0032551,4,1393
tt0032551,5,3182
tt0032551,6,6232
tt0032551,7,15902
tt0032551,8,28365
tt0032551,9,18866
tt0032551,10,17417
tt0032553,1,3551
tt0032553,2,1006
tt0032553,3,1443
tt0032553,4,2309
tt0032553,5,4789
tt0032553,6,10105
tt0032553,7,27463
tt0032553,8,59020
tt0032553,9,60256
tt0032553,10,56096
tt0032599,1,1220
tt0032599,2,331
tt0032599,3,545
tt0032599,4,829
tt0032599,5,1981
tt0032599,6,4676
tt0032599,7,10992
tt0032599,8,16729
tt0032599,9,11179
tt0032599,10,11562
tt0032904,1,1378
tt0032904,2,398
tt0032904,3,552
tt0032904,4,1025
tt0032904,5,2291
tt0032904,6,5092
tt0032904,7,12068
tt0032904,8,18785
tt0032904,9,13477
tt0032904,10,15506
tt0032910,1,903
tt0032910,2,696
tt0032910,3,1252
tt0032910,4,2607
tt0032910,5,7274
tt0032910,6,19305
tt0032910,7,44752
tt0032910,8,40959
tt0032910,9,15171
tt0032910,10,17590
tt0032976,1,2145
tt0032976,2,703
tt0032976,3,888
tt0032976,4,1362
tt0032976,5,3535
tt0032976,6,8524
tt0032976,7,23783
tt0032976,8,43111
tt0032976,9,29978
tt0032976,10,24881
tt0033045,1,460
tt0033045,2,109
tt0033045,3,258
tt0033045,4,254
tt0033045,5,790
tt0033045,6,2066
tt0033045,7,6150
tt0033045,8,11297
tt0033045,9,7113
tt0033045,10,6441
tt0033467,1,8831
tt0033467,2,3522
tt0033467,3,4544
tt0033467,4,6994
tt0033467,5,13668
tt0033467,6,26497
tt0033467,7,59687
tt0033467,8,101723
tt0033467,9,95775
tt0033467,10,124347
tt0033563,1,833
tt0033563,2,759
tt0033563,3,1369
tt0033563,4,2986
tt0033563,5,8492
tt0033563,6,21272
tt0033563,7,42436
tt0033563,8,30946
tt0033563,9,11784
tt0033563,10,13746
tt0033729,1,329
tt0033729,2,159
tt0033729,3,223
tt0033729,4,421
tt0033729,5,1016
tt0033729,6,2259
tt0033729,7,5101
tt0033729,8,6765
tt0033729,9,4001
tt0033729,10,4531
tt0033804,1,222
tt0033804,2,90
tt0033804,3,149
tt0033804,4,291
tt0033804,5,845
tt0033804,6,1956
tt0033804,7,4489
tt0033804,8,6144
tt0033804,9,3625
tt0033804,10,4255
tt0033870,1,2103
tt0033870,2,788
tt0033870,3,1110
tt0033870,4,1911
tt0033870,5,4520
tt0033870,6,11313
tt0033870,7,29399
tt0033870,8,47778
tt0033870,9,32723
tt0033870,10,29015
tt0034240,1,507
tt0034240,2,111
tt0034240,3,236
tt0034240,4,311
tt0034240,5,838
tt0034240,6,2085
tt0034240,7,5054
tt0034240,8,7491
tt0034240,9,4957
tt0034240,10,5424
tt0034248,1,185
tt0034248,2,160
tt0034248,3,266
tt0034248,4,627
tt0034248,5,1897
tt0034248,6,5356
tt0034248,7,12788
tt0034248,8,11528
tt0034248,9,3959
